name,code,char,include
ambulance,1F691,?,Y
fire-engine,1F692,?,Y
police-car,1F693,?,Y
police-car,1F694,?,Y
taxi,1F695,?,Y
taxi,1F696,?,Y
automobile,1F697,?,Y
automobile,1F698,?,Y
R V,1F699,?,Y
delivery-truck,1F69A,?,Y
truck,1F69B,?,Y
tractor,1F69C,?,Y
bicycle,1F6B2,?,Y
bus-stop,1F68F,?,Y
fuel-pump,26FD,?,Y
police-cars-revolving-light,1F6A8,?,N
traffic-light,1F6A5,?,Y
vertical-traffic-light,1F6A6,?,N
construction-sign,1F6A7,?,Y
anchor,2693,?,Y
sailboat,26F5,?,Y
speedboat,1F6A4,?,Y
ship,1F6A2,?,Y
airplane,2708,?,Y
seat,1F4BA,?,Y
helicopter,1F681,?,Y
railway,1F69F,?,Y
mountain-cableway,1F6A0,?,N
tramway,1F6A1,?,Y
rocket,1F680,?,Y
hourglass,231B,?,Y
hourglass,23F3,?,Y
watch,231A,?,Y
alarm-clock,23F0,?,Y
clock-face-twelve-oclock,1F55B,?,N
clock-face-twelve-thirty,1F567,?,N
clock-face-one-oclock,1F550,?,N
clock-face-one-thirty,1F55C,?,N
clock-face-two-oclock,1F551,?,N
clock-face-two-thirty,1F55D,?,N
clock-face-three-oclock,1F552,?,N
clock-face-three-thirty,1F55E,?,N
clock-face-four-oclock,1F553,?,N
clock-face-four-thirty,1F55F,?,N
clock-face-five-oclock,1F554,?,N
clock-face-five-thirty,1F560,?,N
clock-face-six-oclock,1F555,?,N
clock-face-six-thirty,1F561,?,N
clock-face-seven-oclock,1F556,?,N
clock-face-seven-thirty,1F562,?,N
clock-face-eight-oclock,1F557,?,N
clock-face-eight-thirty,1F563,?,N
clock-face-nine-oclock,1F558,?,N
clock-face-nine-thirty,1F564,?,N
clock-face-ten-oclock,1F559,?,N
clock-face-ten-thirty,1F565,?,N
clock-face-eleven-oclock,1F55A,?,N
clock-face-eleven-thirty,1F566,?,N
new-moon,1F311,?,Y
crescent-moon,1F312,?,Y
quarter-moon-symbol,1F313,?,N
waxing-gibbous-moon-symbol,1F314,?,N
full-moon,1F315,?,Y
waning-gibbous-moon-symbol,1F316,?,N
last-quarter-moon-symbol,1F317,?,N
waning-crescent-moon-symbol,1F318,?,N
crescent-moon,1F319,?,Y
moon,1F31A,?,Y
first-quarter-moon-with-face,1F31B,?,N
last-quarter-moon-with-face,1F31C,?,N
sun,2600,?,Y
full-moon,1F31D,?,Y
